Stock_Item_Key,Stock_Item,Selling_Package,Buying_Package,Brand,Size,Lead_Time_Days,Quantity_Per_Outer,Is_Chiller_Stock,Barcode,Tax_Rate,Unit_Price,Recommended_Retail_Price,Typical_Weight_Per_Unit,Lineage_Key,Purchase_Key,DATE_TEMP,Supplier_Key,WWI_Purchase_Order_ID,Ordered_Outers,Ordered_Quantity,Received_Outers,Package,Is_Order_Finalized,Color,End_Of_Month,DATE_YEAR,DATE_QUARTER,DATE_MONTH,Price_Category
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,5,2013-01-01,17,2,1,12,1,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,95,2013-01-02,17,7,6,72,6,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,140,2013-01-03,17,12,11,132,11,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,172,2013-01-04,17,17,9,108,9,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,187,2013-01-05,17,21,2,24,2,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,202,2013-01-07,17,26,2,24,2,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,220,2013-01-09,17,32,2,24,2,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,225,2013-01-10,17,36,3,36,3,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,231,2013-01-11,17,39,6,72,6,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,241,2013-01-14,17,43,8,96,8,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,248,2013-01-15,17,47,9,108,9,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,255,2013-01-16,17,50,6,72,6,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,259,2013-01-17,17,51,5,60,5,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,264,2013-01-18,17,52,13,156,13,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,270,2013-01-19,17,54,9,108,9,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,272,2013-01-21,17,56,18,216,18,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,277,2013-01-22,17,57,29,348,29,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,281,2013-01-23,17,58,28,336,28,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,286,2013-01-24,17,59,27,324,27,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,291,2013-01-25,17,60,26,312,26,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,296,2013-01-26,17,61,8,96,8,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,300,2013-01-28,17,63,33,396,33,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,306,2013-01-29,17,65,44,528,44,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,313,2013-01-30,17,67,50,600,50,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,318,2013-01-31,17,68,57,684,57,Carton,1,White,2013-01-31,2013,1,1,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,324,2013-02-01,17,69,64,768,64,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,330,2013-02-02,17,70,8,96,8,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,334,2013-02-04,17,71,70,840,70,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,340,2013-02-05,17,72,69,828,69,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,346,2013-02-06,17,73,68,816,68,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,352,2013-02-07,17,74,67,804,67,Carton,1,White,2013-02-28,2013,1,2,D
