Purchase Key,Date Key,Supplier Key,Stock Item Key,WWI Purchase Order ID,Ordered Outers,Ordered Quantity,Received Outers,Package,Is Order Finalized,Lineage Key
5,1/1/2013,17,143,2,1,12,1,Carton,1,10
95,1/2/2013,17,143,7,6,72,6,Carton,1,10
140,1/3/2013,17,143,12,11,132,11,Carton,1,10
172,1/4/2013,17,143,17,9,108,9,Carton,1,10
187,1/5/2013,17,143,21,2,24,2,Carton,1,10
202,1/7/2013,17,143,26,2,24,2,Carton,1,10
220,1/9/2013,17,143,32,2,24,2,Carton,1,10
225,1/10/2013,17,143,36,3,36,3,Carton,1,10
231,1/11/2013,17,143,39,6,72,6,Carton,1,10
241,1/14/2013,17,143,43,8,96,8,Carton,1,10
248,1/15/2013,17,143,47,9,108,9,Carton,1,10
255,1/16/2013,17,143,50,6,72,6,Carton,1,10
259,1/17/2013,17,143,51,5,60,5,Carton,1,10
264,1/18/2013,17,143,52,13,156,13,Carton,1,10
270,1/19/2013,17,143,54,9,108,9,Carton,1,10
272,1/21/2013,17,143,56,18,216,18,Carton,1,10
277,1/22/2013,17,143,57,29,348,29,Carton,1,10
281,1/23/2013,17,143,58,28,336,28,Carton,1,10
286,1/24/2013,17,143,59,27,324,27,Carton,1,10
291,1/25/2013,17,143,60,26,312,26,Carton,1,10
296,1/26/2013,17,143,61,8,96,8,Carton,1,10
300,1/28/2013,17,143,63,33,396,33,Carton,1,10
306,1/29/2013,17,143,65,44,528,44,Carton,1,10
313,1/30/2013,17,143,67,50,600,50,Carton,1,10
318,1/31/2013,17,143,68,57,684,57,Carton,1,10
324,2/1/2013,17,143,69,64,768,64,Carton,1,10
330,2/2/2013,17,143,70,8,96,8,Carton,1,10
334,2/4/2013,17,143,71,70,840,70,Carton,1,10
340,2/5/2013,17,143,72,69,828,69,Carton,1,10
346,2/6/2013,17,143,73,68,816,68,Carton,1,10
352,2/7/2013,17,143,74,67,804,67,Carton,1,10
357,2/8/2013,17,143,75,66,792,66,Carton,1,10
366,2/11/2013,17,143,77,74,888,74,Carton,1,10
372,2/12/2013,17,143,78,77,924,77,Carton,1,10
378,2/13/2013,17,143,79,85,1020,85,Carton,1,10
385,2/14/2013,17,143,81,89,1068,89,Carton,1,10
392,2/15/2013,17,143,83,92,1104,92,Carton,1,10
399,2/16/2013,17,143,85,2,24,2,Carton,1,10
402,2/18/2013,17,143,86,91,1092,91,Carton,1,10
409,2/19/2013,17,143,88,93,1116,93,Carton,1,10
416,2/20/2013,17,143,90,91,1092,91,Carton,1,10
423,2/21/2013,17,143,92,89,1068,89,Carton,1,10
430,2/22/2013,17,143,94,87,1044,87,Carton,1,10
441,2/25/2013,17,143,98,83,996,83,Carton,1,10
448,2/26/2013,17,143,100,89,1068,89,Carton,1,10
455,2/27/2013,17,143,102,87,1044,87,Carton,1,10
462,2/28/2013,17,143,104,85,1020,85,Carton,1,10
469,3/1/2013,17,143,106,92,1104,92,Carton,1,10
476,3/2/2013,17,143,108,6,72,6,Carton,1,10
481,3/4/2013,17,143,109,97,1164,97,Carton,1,10
488,3/5/2013,17,143,111,95,1140,95,Carton,1,10
495,3/6/2013,17,143,113,98,1176,98,Carton,1,10
502,3/7/2013,17,143,115,108,1296,108,Carton,1,10
509,3/8/2013,17,143,117,106,1272,106,Carton,1,10
517,3/11/2013,17,143,120,108,1296,108,Carton,1,10
524,3/12/2013,17,143,122,117,1404,117,Carton,1,10
531,3/13/2013,17,143,124,115,1380,115,Carton,1,10
538,3/14/2013,17,143,126,128,1536,128,Carton,1,10
545,3/15/2013,17,143,128,126,1512,126,Carton,1,10
553,3/16/2013,17,143,130,13,156,13,Carton,1,10
558,3/18/2013,17,143,131,136,1632,136,Carton,1,10
