Purchase_Key,DATE_TEMP,Supplier_Key,Stock_Item_Key,WWI_Purchase_Order_ID,Ordered_Outers,Ordered_Quantity,Received_Outers,Package,Is_Order_Finalized,Lineage_Key
5,01-01-2013,17,143,2,1,12,1,Carton,1,10
95,01-02-2013,17,143,7,6,72,6,Carton,1,10
140,01-03-2013,17,143,12,11,132,11,Carton,1,10
172,01-04-2013,17,143,17,9,108,9,Carton,1,10
187,01-05-2013,17,143,21,2,24,2,Carton,1,10
202,01-07-2013,17,143,26,2,24,2,Carton,1,10
220,01-09-2013,17,143,32,2,24,2,Carton,1,10
225,01-10-2013,17,143,36,3,36,3,Carton,1,10
231,01-11-2013,17,143,39,6,72,6,Carton,1,10
241,01-14-2013,17,143,43,8,96,8,Carton,1,10
248,01-15-2013,17,143,47,9,108,9,Carton,1,10
255,01-16-2013,17,143,50,6,72,6,Carton,1,10
259,01-17-2013,17,143,51,5,60,5,Carton,1,10
264,01-18-2013,17,143,52,13,156,13,Carton,1,10
270,01-19-2013,17,143,54,9,108,9,Carton,1,10
272,01-21-2013,17,143,56,18,216,18,Carton,1,10
277,01-22-2013,17,143,57,29,348,29,Carton,1,10
281,01-23-2013,17,143,58,28,336,28,Carton,1,10
286,01-24-2013,17,143,59,27,324,27,Carton,1,10
291,01-25-2013,17,143,60,26,312,26,Carton,1,10
296,01-26-2013,17,143,61,8,96,8,Carton,1,10
300,01-28-2013,17,143,63,33,396,33,Carton,1,10
306,01-29-2013,17,143,65,44,528,44,Carton,1,10
313,01-30-2013,17,143,67,50,600,50,Carton,1,10
318,01-31-2013,17,143,68,57,684,57,Carton,1,10
324,02-01-2013,17,143,69,64,768,64,Carton,1,10
330,02-02-2013,17,143,70,8,96,8,Carton,1,10
334,02-04-2013,17,143,71,70,840,70,Carton,1,10
340,02-05-2013,17,143,72,69,828,69,Carton,1,10
346,02-06-2013,17,143,73,68,816,68,Carton,1,10
352,02-07-2013,17,143,74,67,804,67,Carton,1,10
357,02-08-2013,17,143,75,66,792,66,Carton,1,10
366,02-11-2013,17,143,77,74,888,74,Carton,1,10
372,02-12-2013,17,143,78,77,924,77,Carton,1,10
378,02-13-2013,17,143,79,85,1020,85,Carton,1,10
385,02-14-2013,17,143,81,89,1068,89,Carton,1,10
392,02-15-2013,17,143,83,92,1104,92,Carton,1,10
399,02-16-2013,17,143,85,2,24,2,Carton,1,10
402,02-18-2013,17,143,86,91,1092,91,Carton,1,10
409,02-19-2013,17,143,88,93,1116,93,Carton,1,10
416,02-20-2013,17,143,90,91,1092,91,Carton,1,10
423,02-21-2013,17,143,92,89,1068,89,Carton,1,10
430,02-22-2013,17,143,94,87,1044,87,Carton,1,10
441,02-25-2013,17,143,98,83,996,83,Carton,1,10
448,02-26-2013,17,143,100,89,1068,89,Carton,1,10
455,02-27-2013,17,143,102,87,1044,87,Carton,1,10
462,02-28-2013,17,143,104,85,1020,85,Carton,1,10
469,03-01-2013,17,143,106,92,1104,92,Carton,1,10
476,03-02-2013,17,143,108,6,72,6,Carton,1,10
481,03-04-2013,17,143,109,97,1164,97,Carton,1,10
488,03-05-2013,17,143,111,95,1140,95,Carton,1,10
495,03-06-2013,17,143,113,98,1176,98,Carton,1,10
502,03-07-2013,17,143,115,108,1296,108,Carton,1,10
509,03-08-2013,17,143,117,106,1272,106,Carton,1,10
517,03-11-2013,17,143,120,108,1296,108,Carton,1,10
524,03-12-2013,17,143,122,117,1404,117,Carton,1,10
531,03-13-2013,17,143,124,115,1380,115,Carton,1,10
538,03-14-2013,17,143,126,128,1536,128,Carton,1,10
545,03-15-2013,17,143,128,126,1512,126,Carton,1,10
553,03-16-2013,17,143,130,13,156,13,Carton,1,10
558,03-18-2013,17,143,131,136,1632,136,Carton,1,10
565,03-19-2013,17,143,133,156,1872,156,Carton,1,10
573,03-20-2013,17,143,135,158,1896,158,Carton,1,10
581,03-21-2013,17,143,137,186,2232,186,Carton,1,10
589,03-22-2013,17,143,139,205,2460,205,Carton,1,10
598,03-25-2013,17,143,142,202,2424,202,Carton,1,10
606,03-26-2013,17,143,144,205,2460,205,Carton,1,10
614,03-27-2013,17,143,146,203,2436,203,Carton,1,10
622,03-28-2013,17,143,148,204,2448,204,Carton,1,10
630,03-29-2013,17,143,150,202,2424,202,Carton,1,10
642,04-01-2013,17,143,153,207,2484,207,Carton,1,10
650,04-02-2013,17,143,155,217,2604,217,Carton,1,10
658,04-03-2013,17,143,157,221,2652,221,Carton,1,10
666,04-04-2013,17,143,159,227,2724,227,Carton,1,10
674,04-05-2013,17,143,161,235,2820,235,Carton,1,10
685,04-08-2013,17,143,165,231,2772,231,Carton,1,10
693,04-09-2013,17,143,167,238,2856,238,Carton,1,10
